ano,id_eleicao,tipo_eleicao,data_eleicao,sigla_uf,id_municipio,id_municipio_tse,cargo,vagas
2024,619,eleicao ordinaria,2024-10-06,AM,1300706,2151,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1300805,2178,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1300805,2178,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1300839,2992,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1300839,2992,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1300904,2194,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1300904,2194,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1301001,2216,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1301001,2216,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1301100,2232,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1301100,2232,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1301159,2046,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1301159,2046,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1301209,2259,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1301209,2259,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1301308,2275,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1301308,2275,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1301407,2291,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1301407,2291,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1301506,2313,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1301506,2313,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1301605,2330,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1301605,2330,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1301654,2020,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1301654,2020,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1301704,2356,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1301704,2356,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1301803,2399,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1301803,2399,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1301852,98353,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1301852,98353,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1301902,2410,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1301902,2410,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1301951,98370,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1301951,98370,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1302009,2437,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1302009,2437,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1302108,2453,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1302108,2453,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1302207,2470,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1302207,2470,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1302306,2496,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1302306,2496,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1302405,2518,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1302405,2518,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1302504,2534,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1302504,2534,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1302553,98396,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1302553,98396,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1302603,2550,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1302603,2550,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1302702,2577,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1302702,2577,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1302801,2593,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1302801,2593,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1302900,2615,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1302900,2615,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1303007,2631,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1303007,2631,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1303106,2658,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1303106,2658,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1303205,2011,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1303205,2011,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1303304,2674,prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1303304,2674,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1303403,2690,vice-prefeito,1
2024,619,eleicao ordinaria,2024-10-06,AM,1303403,2690,prefeito,1
